Temperature,Humidity,Rainfall_mm,Crop_Stage,Symptom_Leaf_Spots,Symptom_Holes_in_Leaves,Symptom_Stunted_Growth,Symptom_Wilting,Symptom_Stem_Boring,Diagnosis
30.348271737916725,72.55184815125489,10.282993996233532,Maturity,1,0,1,0,1,Healthy
31.034393617096065,81.37000095924249,5.6696877265625085,Seedling,1,0,1,1,0,Maize Lethal Necrosis
34.416187273257734,75.16098642855646,0.8964822658184352,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
32.23162661850672,93.42452010913,13.247970404461501,Maturity,1,0,0,0,1,Healthy
32.66503623702245,61.8274792134794,20.13182787663939,Maturity,1,0,1,0,0,Healthy
22.97888936880946,67.79261867672314,17.387638301074794,Flowering,0,1,1,1,1,Healthy
28.43796895363502,88.68878004845702,22.35286265404672,Maturity,1,0,0,0,1,Northern Leaf Blight
29.79850449888458,58.21572136908281,3.371928820766823,Seedling,0,1,0,1,0,Healthy
24.197684685010124,66.88687151452147,10.61357739850179,Vegetative,0,0,0,0,1,Healthy
33.02365163072197,82.1435111821795,8.814181671552387,Seedling,1,0,1,1,1,Maize Lethal Necrosis
28.48021087137915,60.87277520579994,24.44420475875088,Flowering,1,1,1,1,1,Maize Lethal Necrosis
27.4918427704892,94.07707668349775,22.544946834455907,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
29.20350549043144,78.82851237639305,2.8733186721026955,Seedling,1,1,1,1,0,Maize Lethal Necrosis
30.089496982680252,63.52845973108801,11.726532221841431,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
23.90227641985724,77.7314634756431,3.555336228109718,Vegetative,1,1,0,1,1,Northern Leaf Blight
30.53970840531894,85.18295608107437,15.84004401399634,Flowering,1,1,1,1,1,Maize Lethal Necrosis
33.15400434148833,74.02346228691528,21.40752170741861,Flowering,1,1,1,1,1,Maize Lethal Necrosis
33.51105898369338,63.137983626504024,17.02258819739341,Maturity,1,1,0,1,1,Healthy
22.715401376137876,69.98718379237638,13.995911824219661,Maturity,0,1,0,1,1,Healthy
26.57466950322359,80.53874785929213,23.971889010323896,Maturity,1,1,0,0,1,Northern Leaf Blight
34.9217132250012,63.40059506558249,22.536841737917467,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
22.583655457405847,53.9925726247312,6.523602950652455,Maturity,0,1,0,0,1,Healthy
33.058176918969345,52.17881926378766,7.020994051448315,Flowering,1,1,1,1,1,Maize Stem Borer
26.268667032950418,85.85609046781792,4.685631145591423,Flowering,1,0,1,1,1,Maize Lethal Necrosis
34.6787078232007,62.135331882568586,15.626982142825463,Flowering,1,1,1,1,1,Maize Lethal Necrosis
26.65660619208904,50.75256066447891,22.01120045480583,Maturity,1,1,1,1,1,Healthy
32.038455251727896,60.6621611882832,5.4937697708938495,Maturity,0,0,1,1,0,Healthy
29.288934284813003,73.44644036264366,1.6157824856110863,Maturity,1,1,0,0,1,Healthy
26.301033281830126,53.75658626370904,7.800795290747176,Flowering,0,1,1,1,1,Maize Stem Borer
29.203669254116207,80.24255050044803,19.59724074301012,Seedling,1,0,1,1,1,Maize Lethal Necrosis
31.740595165331964,78.20025499405618,20.02323826026214,Seedling,1,0,1,1,1,Maize Lethal Necrosis
23.46686292869251,70.91195232615149,8.065883168969314,Vegetative,1,1,1,0,0,Healthy
29.94823304926924,90.41009479813806,24.76536016704572,Seedling,1,0,1,1,1,Maize Lethal Necrosis
34.04642147107631,83.27810230675846,23.971033416681895,Maturity,0,1,0,1,1,Healthy
27.643107706731815,74.04129246882326,9.301819588023433,Flowering,1,1,1,1,1,Maize Lethal Necrosis
23.485780583308447,60.39341236666244,7.605144991419824,Flowering,1,1,1,1,1,Healthy
29.63368523143109,90.1429537519326,8.291550207043095,Flowering,1,1,1,1,1,Maize Lethal Necrosis
30.178227513041698,64.41956873394678,3.8804863862683394,Seedling,1,1,1,1,0,Maize Lethal Necrosis
30.39644936358135,84.47711348326189,5.858748809341541,Seedling,1,0,1,1,1,Maize Lethal Necrosis
22.398120343349813,54.85067053768396,22.897755638032653,Maturity,0,0,1,1,0,Healthy
32.293585987200274,73.85859773837868,24.602136449475452,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
33.06207716742456,91.74803002524264,9.818591121668799,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
32.90976499926896,80.4773282232219,23.03194174375852,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
31.952832461756252,87.9612155929207,15.708384730509483,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
33.69916358704956,66.08502384595042,0.4838992062162262,Seedling,1,1,1,1,0,Maize Lethal Necrosis
27.919603557102292,50.88115621943114,5.791179343408384,Seedling,0,0,0,1,0,Healthy
24.017784351574246,58.27131521916788,18.07566251896378,Flowering,1,0,0,0,0,Healthy
32.14182047195014,61.09768023508596,10.32881618151144,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
25.341628842321125,60.326232028057944,20.84899473984904,Seedling,1,1,1,0,1,Healthy
33.17928017649344,56.147117947436236,10.268976291966608,Seedling,1,0,0,1,0,Healthy
23.315681769646776,66.89256672905539,15.613090482690364,Vegetative,0,1,0,1,0,Healthy
30.21656198874378,66.19092385150256,1.3693979028951198,Vegetative,1,1,1,1,1,Maize Lethal Necrosis
34.32724585569066,89.81442531697553,24.673911993079848,Maturity,0,1,1,1,0,Healthy
23.858719749929996,50.23767737594718,8.6085020713275,Vegetative,1,1,1,1,0,Healthy
32.07971914025691,78.28238765734432,11.384525090961628,Seedling,1,0,1,1,1,Maize Lethal Necrosis
32.247701610599876,57.92074096918564,14.365145481012224,Vegetative,0,1,1,0,1,Maize Stem Borer
24.11852242684232,59.77123090437972,1.6394453770506467,Seedling,1,0,1,0,1,Healthy
31.061956159663474,70.20912494038147,12.228087874111488,Maturity,0,0,1,1,1,Healthy
29.303846304902176,71.54479336715163,1.4319654157203876,Flowering,1,1,1,1,1,Maize Lethal Necrosis
33.0991794227296,83.41347006892619,5.7738358958272205,Maturity,0,0,1,0,1,Healthy
